SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000155,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,6.25,7.25,,,,7.2,8.25,2022
02000156,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.25,,,9,6.75,5.75,9.4,,2022
02000157,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,,,6,7.5,4.25,8,,2022
02000158,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.25,7,6.75,,,,7.8,9,2022
02000159,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,7.75,7,,,,8.6,8,2022
02000160,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,8,,,4.5,8.25,7.75,8.4,,2022
02000161,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,6,7.75,3,9.4,,2022
02000162,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6,8,7,,,,6.8,9,2022
02000163,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.25,7.25,6.5,,,,8,8.75,2022
02000164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7.5,5,5,9,,2022
02000165,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,6.5,7.75,7.25,8.8,,2022
02000166,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,6.75,6,4.25,8.4,,2022
02000167,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,6.75,7,3,7.4,,2022
02000168,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6,,,8.25,9,5.75,8.8,,2022
02000169,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6,,,8.25,8.5,4.5,,,2022
02000170,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,8.25,6.75,4.5,9.4,,2022
02000171,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,,,7,6.75,3.75,7.6,,2022
02000172,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,8,8.75,,,,8.4,9,2022
02000173,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,7.75,7.5,,,,8.8,9,2022
02000174,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6,,,7.5,7,4,8.2,,2022
02000175,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,9.75,7.5,5.5,8.8,,2022
02000176,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,7.75,8,,,,8,8.5,2022
02000177,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,7.25,7.75,,,,7,7.75,2022
02000178,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5,,,7.5,6,3.25,8.6,,2022
